,Colony,Colony_2,Caste,QueenPresence,Age,Category_Worker,Date_Colony_SplitQ+_Q-,DATE_Alates_separatedfromColony,Date_Dissection,OvaryRemark,Sample
Lne12QO2,Lne12,Lne12O,Queen,,Old,,,,,,Lne12QO2
Lne13QO1,Lne13,Lne13O,Queen,,Old,,,,,,Lne13QO1
Lne13QO3,Lne13,Lne13O,Queen,,Old,,,,,,Lne13QO3
Lne22NQIn1,Lne22,Lne22O,Worker,Queenless,Young,NQ_Y,,,,,Lne22NQIn1
Lne22NQIn2,Lne22,Lne22O,Worker,Queenless,Young,NQ_Y,,,,,Lne22NQIn2
Lne22NQOut,Lne22,Lne22O,Worker,Queenless,Old,NQ_O,,,,,Lne22NQOut
Lne22QIn2,Lne22,Lne22O,Worker,Queenright,Young,Q_Y,,,,,Lne22QIn2
Lne22QIn3,Lne22,Lne22O,Worker,Queenright,Young,Q_Y,,,,,Lne22QIn3
Lne22QO1,Lne22,Lne22O,Queen,,Old,,,,,,Lne22QO1
Lne22QO3,Lne22,Lne22O,Queen,,Old,,,,,,Lne22QO3
Lne22QOut1,Lne22,Lne22O,Worker,Queenright,Old,Q_O,,,,,Lne22QOut1
Lne22QOut2,Lne22,Lne22O,Worker,Queenright,Old,Q_O,,,,,Lne22QOut2
Lne23NQIn1,Lne23,Lne23O,Worker,Queenless,Young,NQ_Y,,,,,Lne23NQIn1
Lne23NQIn3,Lne23,Lne23O,Worker,Queenless,Young,NQ_Y,,,,,Lne23NQIn3
Lne23NQOut1,Lne23,Lne23O,Worker,Queenless,Old,NQ_O,,,,,Lne23NQOut1
Lne23QIn1,Lne23,Lne23O,Worker,Queenright,Young,Q_Y,,,,,Lne23QIn1
Lne23QIn2,Lne23,Lne23O,Worker,Queenright,Young,Q_Y,,,,,Lne23QIn2
Lne23QIn3,Lne23,Lne23O,Worker,Queenright,Young,Q_Y,,,,,Lne23QIn3
Lne23QNQOut2,Lne23,Lne23O,Worker,Queenless,Old,NQ_O,,,,,Lne23QNQOut2
Lne23QO1,Lne23,Lne23O,Queen,,Old,,,,,,Lne23QO1
Lne23QOut1,Lne23,Lne23O,Worker,Queenright,Old,Q_O,,,,,Lne23QOut1
Lne23QOut2,Lne23,Lne23O,Worker,Queenright,Old,Q_O,,,,,Lne23QOut2
Lne23QY1,Lne23,Lne23Y,Queen,,Young,,,,,,Lne23QY1
Lne23QY3,Lne23,Lne23Y,Queen,,Young,,,,,,Lne23QY3
Lne24NQIn1,Lne24,Lne24O,Worker,Queenless,Young,NQ_Y,,,,,Lne24NQIn1
Lne24NQOut1,Lne24,Lne24O,Worker,Queenless,Old,NQ_O,,,,,Lne24NQOut1
Lne24QIn1,Lne24,Lne24O,Worker,Queenright,Young,Q_Y,,,,,Lne24QIn1
Lne24QIn2,Lne24,Lne24O,Worker,Queenright,Young,Q_Y,,,,,Lne24QIn2
Lne24QOut1,Lne24,Lne24O,Worker,Queenright,Old,Q_O,,,,,Lne24QOut1
Lne24QY1,Lne24,Lne24Y,Queen,,Young,,,,,,Lne24QY1
Lne25QY1,Lne25,Lne25Y,Queen,,Young,,,,,,Lne25QY1
Lne25QY2,Lne25,Lne25Y,Queen,,Young,,,,,,Lne25QY2
Lne25QY3,Lne25,Lne25Y,Queen,,Young,,,,,,Lne25QY3
Lne26NQIn1,Lne26,Lne25O,Worker,Queenless,Young,NQ_Y,,,,,Lne26NQIn1
Lne26NQIn2,Lne26,Lne25O,Worker,Queenless,Young,NQ_Y,,,,,Lne26NQIn2
Lne26NQOut1,Lne26,Lne26O,Worker,Queenless,Old,NQ_O,,,,,Lne26NQOut1
Lne26NQOut2,Lne26,Lne26O,Worker,Queenless,Old,NQ_O,,,,,Lne26NQOut2
Lne26QIn1,Lne26,Lne26O,Worker,Queenright,Young,Q_Y,,,,,Lne26QIn1
Lne26QO1,Lne26,Lne26O,Queen,,Old,,,,,,Lne26QO1
Lne26QO2,Lne26,Lne26O,Queen,,Old,,,,,,Lne26QO2
Lne26QO3,Lne26,Lne26O,Queen,,Old,,,,,,Lne26QO3
Lne26QOut1,Lne26,Lne26O,Worker,Queenright,Old,Q_O,,,,,Lne26QOut1
Lne26QOut2,Lne26,Lne26O,Worker,Queenright,Old,Q_O,,,,,Lne26QOut2
Lne26QOut3,Lne26,Lne26O,Worker,Queenright,Old,Q_O,,,,,Lne26QOut3
Lne26QY1,Lne26,Lne26Y,Queen,,Young,,,,,,Lne26QY1
Lne26QY3,Lne26,Lne26Y,Queen,,Young,,,,,,Lne26QY3
Lne26QY4,Lne26,Lne26Y,Queen,,Young,,,,,,Lne26QY4
