Colony,Queen,Treatment,Location,Day,Status,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Outside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Inside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Inside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Inside,6.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Inside,7,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Paraquat,Inside,9.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Outside,7.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Outside,14.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Inside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Inside,10.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Inside,10.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Inside,12.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queen,Control,Inside,13,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Outside,1.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Outside,2.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Outside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Inside,4.5,1,,,,,,,,,,,,,,,,,,,,
Lne23,Queenless,Paraquat,Inside,8.5,1,,,,,,,,,,,,,,,,,,,,
