,GO.ID,Term,Annotated,Significant,Expected,Fisher,QueensOpadj,,,,,,,,,,,,,,,,,,
1,GO:0051603,proteolysis involved in cellular protein catabolic process,60,5,0.34,0.00000022,0.00000506,***,,,,,,,,,,,,,,,,,
2,GO:0008203,cholesterol metabolic process,6,2,0.03,0.00045,0.005175,**,,,,,,,,,,,,,,,,,
3,GO:0016042,lipid catabolic process,10,2,0.06,0.00134,0.010273333,*,,,,,,,,,,,,,,,,,
4,GO:0097250,mitochondrial respirasome assembly,1,1,0.01,0.00565,0.0324875,*,,,,,,,,,,,,,,,,,
5,GO:0009408,response to heat,2,1,0.01,0.01127,0.051842,,,,,,,,,,,,,,,,,,
6,GO:0006783,heme biosynthetic process,3,1,0.02,0.01686,0.06463,,,,,,,,,,,,,,,,,,
7,GO:0032981,mitochondrial respiratory chain complex I assembly,5,1,0.03,0.02794,0.091802857,,,,,,,,,,,,,,,,,,
8,GO:0006096,glycolytic process,7,1,0.04,0.03891,0.11186625,,,,,,,,,,,,,,,,,,
9,GO:0043248,proteasome assembly,8,1,0.05,0.04435,0.113338889,,,,,,,,,,,,,,,,,,
10,GO:0006629,lipid metabolic process,233,5,1.32,0.10185,0.234255,,,,,,,,,,,,,,,,,,
11,GO:0006364,rRNA processing,27,1,0.15,0.14227,0.2820375,,,,,,,,,,,,,,,,,,
12,GO:0006418,tRNA aminoacylation for protein translation,28,1,0.16,0.14715,0.2820375,,,,,,,,,,,,,,,,,,
13,GO:0006457,protein folding,36,1,0.2,0.18523,0.327714615,,,,,,,,,,,,,,,,,,
14,GO:0009966,regulation of signal transduction,40,1,0.23,0.20366,0.334584286,,,,,,,,,,,,,,,,,,
15,GO:0006511,ubiquitin-dependent protein catabolic process,49,1,0.28,0.24367,0.373627333,,,,,,,,,,,,,,,,,,
16,GO:0005975,carbohydrate metabolic process,112,2,0.63,0.43558,0.62614625,,,,,,,,,,,,,,,,,,
17,GO:0006412,translation,183,2,1.03,0.57782,0.781756471,,,,,,,,,,,,,,,,,,
18,GO:0006508,proteolysis,360,6,2.03,0.75399,0.963431667,,,,,,,,,,,,,,,,,,
19,GO:0006355,"regulation of transcription, DNA-templated",309,1,1.75,0.83809,1,,,,,,,,,,,,,,,,,,
20,GO:0050794,regulation of cellular process,751,2,4.24,1,1,,,,,,,,,,,,,,,,,,
21,GO:0006091,generation of precursor metabolites and energy,54,1,0.31,1,1,,,,,,,,,,,,,,,,,,
22,GO:0044248,cellular catabolic process,142,5,0.8,1,1,,,,,,,,,,,,,,,,,,
23,GO:0044249,cellular biosynthetic process,874,4,4.94,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
