,GO.ID,Term,Annotated,Significant,Expected,Fisher,QueensYpadj,,,,,,,,,,,,,,,,,,
1,GO:0000422,autophagy of mitochondrion,1,1,0.01,0.0061,0.050833333,,,,,,,,,,,,,,,,,,
2,GO:0006355,"regulation of transcription, DNA-templated",309,6,1.9,0.0094,0.050833333,,,,,,,,,,,,,,,,,,
3,GO:0006633,fatty acid biosynthetic process,26,2,0.16,0.0108,0.050833333,,,,,,,,,,,,,,,,,,
4,GO:0006285,"base-excision repair, AP site formation",2,1,0.01,0.0122,0.050833333,,,,,,,,,,,,,,,,,,
5,GO:0023041,neuronal signal transduction,2,1,0.01,0.0122,0.050833333,,,,,,,,,,,,,,,,,,
6,GO:0033169,histone H3-K9 demethylation,2,1,0.01,0.0122,0.050833333,,,,,,,,,,,,,,,,,,
7,GO:0006468,protein phosphorylation,265,5,1.63,0.0204,0.072857143,,,,,,,,,,,,,,,,,,
8,GO:0000045,autophagosome assembly,6,1,0.04,0.0363,0.1134375,,,,,,,,,,,,,,,,,,
9,GO:0016055,Wnt signaling pathway,17,1,0.1,0.0996,0.26675,,,,,,,,,,,,,,,,,,
10,GO:0009058,biosynthetic process,910,9,5.59,0.1067,0.26675,,,,,,,,,,,,,,,,,,
11,GO:0000226,microtubule cytoskeleton organization,36,1,0.22,0.1997,0.453863636,,,,,,,,,,,,,,,,,,
12,GO:0006470,protein dephosphorylation,41,1,0.25,0.2242,0.467083333,,,,,,,,,,,,,,,,,,
13,GO:0050909,sensory perception of taste,66,1,0.41,0.3362,0.646538462,,,,,,,,,,,,,,,,,,
14,GO:0006508,proteolysis,360,2,2.21,0.6625,1,,,,,,,,,,,,,,,,,,
15,GO:0007165,signal transduction,324,3,1.99,0.7759,1,,,,,,,,,,,,,,,,,,
16,GO:0006139,nucleobase-containing compound metabolic process,843,7,5.18,1,1,,,,,,,,,,,,,,,,,,
17,GO:0006796,phosphate-containing compound metabolic process,474,6,2.91,1,1,,,,,,,,,,,,,,,,,,
18,GO:0006807,nitrogen compound metabolic process,1942,16,11.93,1,1,,,,,,,,,,,,,,,,,,
19,GO:0016043,cellular component organization,320,3,1.97,1,1,,,,,,,,,,,,,,,,,,
20,GO:0090304,nucleic acid metabolic process,751,7,4.61,1,1,,,,,,,,,,,,,,,,,,
21,GO:0036211,protein modification process,510,7,3.13,1,1,,,,,,,,,,,,,,,,,,
22,GO:0006482,protein demethylation,4,1,0.02,1,1,,,,,,,,,,,,,,,,,,
23,GO:0006974,cellular response to DNA damage stimulus,85,1,0.52,1,1,,,,,,,,,,,,,,,,,,
24,GO:0044248,cellular catabolic process,142,1,0.87,1,1,,,,,,,,,,,,,,,,,,
25,GO:0043170,macromolecule metabolic process,1807,16,11.1,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
