,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersInpadj,,,,,,,,,,,,,,,,,,
1,GO:0006260,DNA replication,48,17,5.36,0.000011,0.005005,**,,,,,,,,,,,,,,,,,
2,GO:0006298,mismatch repair,7,5,0.78,0.0003,0.06825,,,,,,,,,,,,,,,,,,
3,GO:0005978,glycogen biosynthetic process,3,3,0.34,0.0014,0.212333333,,,,,,,,,,,,,,,,,,
4,GO:0006281,DNA repair,76,26,8.49,0.0039,0.333666667,,,,,,,,,,,,,,,,,,
5,GO:0006096,glycolytic process,7,4,0.78,0.0041,0.333666667,,,,,,,,,,,,,,,,,,
6,GO:0006464,cellular protein modification process,510,62,57,0.0044,0.333666667,,,,,,,,,,,,,,,,,,
7,GO:0006364,rRNA processing,27,8,3.02,0.0074,0.4375,,,,,,,,,,,,,,,,,,
8,GO:0042254,ribosome biogenesis,45,14,5.03,0.0097,0.4375,,,,,,,,,,,,,,,,,,
9,GO:0006414,translational elongation,17,5,1.9,0.0122,0.4375,,,,,,,,,,,,,,,,,,
10,GO:0007030,Golgi organization,2,2,0.22,0.0125,0.4375,,,,,,,,,,,,,,,,,,
11,GO:0006529,asparagine biosynthetic process,2,2,0.22,0.0125,0.4375,,,,,,,,,,,,,,,,,,
12,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,2,2,0.22,0.0125,0.4375,,,,,,,,,,,,,,,,,,
13,GO:0045947,negative regulation of translational initiation,2,2,0.22,0.0125,0.4375,,,,,,,,,,,,,,,,,,
14,GO:0009058,biosynthetic process,910,140,101.71,0.0147,0.47775,,,,,,,,,,,,,,,,,,
15,GO:0006367,transcription initiation from RNA polymerase II promoter,10,4,1.12,0.0187,0.567233333,,,,,,,,,,,,,,,,,,
16,GO:0006487,protein N-linked glycosylation,14,5,1.56,0.0344,0.652166667,,,,,,,,,,,,,,,,,,
17,GO:0000724,double-strand break repair via homologous recombination,7,3,0.78,0.0344,0.652166667,,,,,,,,,,,,,,,,,,
18,GO:0046854,phosphatidylinositol phosphorylation,3,2,0.34,0.0346,0.652166667,,,,,,,,,,,,,,,,,,
19,GO:0006396,RNA processing,192,38,21.46,0.0469,0.652166667,,,,,,,,,,,,,,,,,,
20,GO:0006352,"DNA-templated transcription, initiation",26,10,2.91,0.047,0.652166667,,,,,,,,,,,,,,,,,,
21,GO:0032259,methylation,47,10,5.25,0.0498,0.652166667,,,,,,,,,,,,,,,,,,
22,GO:0006412,translation,183,31,20.45,0.0536,0.652166667,,,,,,,,,,,,,,,,,,
23,GO:0006826,iron ion transport,5,3,0.56,0.0639,0.652166667,,,,,,,,,,,,,,,,,,
24,GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,4,2,0.45,0.0642,0.652166667,,,,,,,,,,,,,,,,,,
25,GO:0000723,telomere maintenance,4,2,0.45,0.0642,0.652166667,,,,,,,,,,,,,,,,,,
26,GO:0000387,spliceosomal snRNP assembly,9,3,1.01,0.0697,0.652166667,,,,,,,,,,,,,,,,,,
27,GO:0006397,mRNA processing,82,14,9.16,0.0929,0.652166667,,,,,,,,,,,,,,,,,,
28,GO:0006751,glutathione catabolic process,5,2,0.56,0.0992,0.652166667,,,,,,,,,,,,,,,,,,
29,GO:0006879,cellular iron ion homeostasis,5,2,0.56,0.0992,0.652166667,,,,,,,,,,,,,,,,,,
30,GO:0007059,chromosome segregation,15,6,1.68,0.1109,0.652166667,,,,,,,,,,,,,,,,,,
31,GO:0006361,transcription initiation from RNA polymerase I promoter,2,2,0.22,0.1115,0.652166667,,,,,,,,,,,,,,,,,,
32,GO:0060147,regulation of posttranscriptional gene silencing,2,2,0.22,0.1115,0.652166667,,,,,,,,,,,,,,,,,,
33,GO:0002084,protein depalmitoylation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
34,GO:0042276,error-prone translesion synthesis,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
35,GO:0070966,"nuclear-transcribed mRNA catabolic process, no-go decay",1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
36,GO:0097352,autophagosome maturation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
37,GO:0030091,protein repair,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
38,GO:0000012,single strand break repair,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
39,GO:0006525,arginine metabolic process,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
40,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
41,GO:0001188,RNA polymerase I preinitiation complex assembly,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
42,GO:0015886,heme transport,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
43,GO:0010389,regulation of G2/M transition of mitotic cell cycle,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
44,GO:0016480,negative regulation of transcription by RNA polymerase III,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
45,GO:0035518,histone H2A monoubiquitination,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
46,GO:0032968,positive regulation of transcription elongation from RNA polymerase II promoter,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
47,GO:0031110,regulation of microtubule polymerization or depolymerization,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
48,GO:1903259,exon-exon junction complex disassembly,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
49,GO:0006621,protein retention in ER lumen,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
50,GO:0016598,protein arginylation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
51,GO:0006616,"SRP-dependent cotranslational protein targeting to membrane, translocation",1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
52,GO:0048011,neurotrophin TRK receptor signaling pathway,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
53,GO:0006231,dTMP biosynthetic process,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
54,GO:0006392,transcription elongation from mitochondrial promoter,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
55,GO:0032264,IMP salvage,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
56,GO:0097111,endoplasmic reticulum-Golgi intermediate compartment organization,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
57,GO:0043001,Golgi to plasma membrane protein transport,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
58,GO:0060964,regulation of gene silencing by miRNA,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
59,GO:0071025,RNA surveillance,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
60,GO:0051315,attachment of mitotic spindle microtubules to kinetochore,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
61,GO:0045132,meiotic chromosome segregation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
62,GO:0019243,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
63,GO:0007349,cellularization,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
64,GO:0015671,oxygen transport,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
65,GO:0070481,"nuclear-transcribed mRNA catabolic process, non-stop decay",1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
66,GO:0001731,formation of translation preinitiation complex,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
67,GO:0046294,formaldehyde catabolic process,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
68,GO:0032367,intracellular cholesterol transport,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
69,GO:0007096,regulation of exit from mitosis,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
70,GO:0071557,histone H3-K27 demethylation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
71,GO:0006069,ethanol oxidation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
72,GO:0000379,tRNA-type intron splice site recognition and cleavage,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
73,GO:0006884,cell volume homeostasis,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
74,GO:0006471,protein ADP-ribosylation,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
75,GO:1902017,regulation of cilium assembly,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
76,GO:0006021,inositol biosynthetic process,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
77,GO:1902412,regulation of mitotic cytokinesis,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
78,GO:0010265,SCF complex assembly,1,1,0.11,0.1118,0.652166667,,,,,,,,,,,,,,,,,,
79,GO:0007020,microtubule nucleation,6,2,0.67,0.138,0.794810127,,,,,,,,,,,,,,,,,,
80,GO:0006351,"transcription, DNA-templated",381,51,42.58,0.1482,0.807911765,,,,,,,,,,,,,,,,,,
81,GO:0001510,RNA methylation,22,5,2.46,0.1769,0.807911765,,,,,,,,,,,,,,,,,,
82,GO:0006270,DNA replication initiation,9,3,1.01,0.179,0.807911765,,,,,,,,,,,,,,,,,,
83,GO:0006144,purine nucleobase metabolic process,7,2,0.78,0.1795,0.807911765,,,,,,,,,,,,,,,,,,
84,GO:0006221,pyrimidine nucleotide biosynthetic process,7,3,0.78,0.2104,0.807911765,,,,,,,,,,,,,,,,,,
85,GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",3,2,0.34,0.2107,0.807911765,,,,,,,,,,,,,,,,,,
86,GO:0070988,demethylation,6,2,0.67,0.2108,0.807911765,,,,,,,,,,,,,,,,,,
87,GO:0051301,cell division,6,2,0.67,0.2108,0.807911765,,,,,,,,,,,,,,,,,,
88,GO:0045017,glycerolipid biosynthetic process,25,4,2.79,0.2109,0.807911765,,,,,,,,,,,,,,,,,,
89,GO:0071108,protein K48-linked deubiquitination,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
90,GO:0035023,regulation of Rho protein signal transduction,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
91,GO:0000493,box H/ACA snoRNP assembly,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
92,GO:0032456,endocytic recycling,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
93,GO:0000055,ribosomal large subunit export from nucleus,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
94,GO:0032049,cardiolipin biosynthetic process,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
95,GO:0019441,tryptophan catabolic process to kynurenine,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
96,GO:0032007,negative regulation of TOR signaling,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
97,GO:0080009,mRNA methylation,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
98,GO:0030010,establishment of cell polarity,2,1,0.22,0.2111,0.807911765,,,,,,,,,,,,,,,,,,
