,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersOutpaj,,,,,,,,,,,,,,,,,,
1,GO:0055085,transmembrane transport,293,65,29.72,2.9E-09,1.1977E-06,****,,,,,,,,,,,,,,,,,
2,GO:0051603,proteolysis involved in cellular protein catabolic process,60,12,6.09,0.0000096,0.0019824,***,,,,,,,,,,,,,,,,,
3,GO:1902600,proton transmembrane transport,24,11,2.43,0.000018,0.002478,***,,,,,,,,,,,,,,,,,
4,GO:0008203,cholesterol metabolic process,6,5,0.61,0.00048,0.039648,*,,,,,,,,,,,,,,,,,
5,GO:0046855,inositol phosphate dephosphorylation,5,4,0.51,0.00048,0.039648,*,,,,,,,,,,,,,,,,,
6,GO:0016042,lipid catabolic process,10,6,1.01,0.00131,0.090171667,,,,,,,,,,,,,,,,,,
7,GO:0007155,cell adhesion,32,8,3.25,0.00236,0.13924,,,,,,,,,,,,,,,,,,
8,GO:0006821,chloride transport,5,3,0.51,0.00887,0.385591818,,,,,,,,,,,,,,,,,,
9,GO:0007568,aging,2,2,0.2,0.01027,0.385591818,,,,,,,,,,,,,,,,,,
10,GO:0031032,actomyosin structure organization,2,2,0.2,0.01027,0.385591818,,,,,,,,,,,,,,,,,,
11,GO:0018149,peptide cross-linking,2,2,0.2,0.01027,0.385591818,,,,,,,,,,,,,,,,,,
12,GO:0006644,phospholipid metabolic process,55,10,5.58,0.01317,0.4532675,,,,,,,,,,,,,,,,,,
13,GO:0006508,proteolysis,360,53,36.52,0.0204,0.648092308,,,,,,,,,,,,,,,,,,
14,GO:0006812,cation transport,116,27,11.77,0.02402,0.686866393,,,,,,,,,,,,,,,,,,
15,GO:0005991,trehalose metabolic process,3,2,0.3,0.02873,0.686866393,,,,,,,,,,,,,,,,,,
16,GO:0019991,septate junction assembly,3,2,0.3,0.02873,0.686866393,,,,,,,,,,,,,,,,,,
17,GO:0007015,actin filament organization,18,5,1.83,0.05325,0.686866393,,,,,,,,,,,,,,,,,,
18,GO:0009253,peptidoglycan catabolic process,4,2,0.41,0.05363,0.686866393,,,,,,,,,,,,,,,,,,
19,GO:0007411,axon guidance,4,2,0.41,0.05363,0.686866393,,,,,,,,,,,,,,,,,,
20,GO:0006850,mitochondrial pyruvate transmembrane transport,4,2,0.41,0.05363,0.686866393,,,,,,,,,,,,,,,,,,
21,GO:0006811,ion transport,234,46,23.74,0.05663,0.686866393,,,,,,,,,,,,,,,,,,
22,GO:0015986,ATP synthesis coupled proton transport,10,3,1.01,0.07247,0.686866393,,,,,,,,,,,,,,,,,,
23,GO:0051056,regulation of small GTPase mediated signal transduction,14,3,1.42,0.08344,0.686866393,,,,,,,,,,,,,,,,,,
24,GO:0034314,Arp2/3 complex-mediated actin nucleation,5,2,0.51,0.08348,0.686866393,,,,,,,,,,,,,,,,,,
25,GO:0006072,glycerol-3-phosphate metabolic process,5,2,0.51,0.08348,0.686866393,,,,,,,,,,,,,,,,,,
26,GO:0006751,glutathione catabolic process,5,2,0.51,0.08348,0.686866393,,,,,,,,,,,,,,,,,,
27,GO:0006749,glutathione metabolic process,17,6,1.72,0.09114,0.686866393,,,,,,,,,,,,,,,,,,
28,GO:0006629,lipid metabolic process,233,31,23.64,0.0954,0.686866393,,,,,,,,,,,,,,,,,,
29,GO:0033014,tetrapyrrole biosynthetic process,8,3,0.81,0.10113,0.686866393,,,,,,,,,,,,,,,,,,
30,GO:0006817,phosphate ion transport,2,2,0.2,0.10123,0.686866393,,,,,,,,,,,,,,,,,,
31,GO:0009143,nucleoside triphosphate catabolic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
32,GO:0031204,"posttranslational protein targeting to membrane, translocation",1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
33,GO:0008356,asymmetric cell division,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
34,GO:0032481,positive regulation of type I interferon production,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
35,GO:0006809,nitric oxide biosynthetic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
36,GO:0006147,guanine catabolic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
37,GO:0006101,citrate metabolic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
38,GO:0006556,S-adenosylmethionine biosynthetic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
39,GO:0008615,pyridoxine biosynthetic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
40,GO:0015693,magnesium ion transport,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
41,GO:0018160,peptidyl-pyrromethane cofactor linkage,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
42,GO:0009231,riboflavin biosynthetic process,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
43,GO:0019427,acetyl-CoA biosynthetic process from acetate,1,1,0.1,0.10145,0.686866393,,,,,,,,,,,,,,,,,,
