Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
1SS_Gp2_Lneg_g00055_i1,1SS_Gp2_Lneg_g00055,35.294,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],1.53E-17,75.5
1SS_Gp2_Lneg_g07570_i1,1SS_Gp2_Lneg_g07570,36.036,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],1.21E-17,75.5
1SS_Gp2_Lneg_g08198_i1,1SS_Gp2_Lneg_g08198,45.312,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],9.18E-33,114
1SS_Gp2_Lneg_g08199_i1,1SS_Gp2_Lneg_g08199,46.094,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],2.55E-32,112
1SS_Gp2_Lneg_g08200_i1,1SS_Gp2_Lneg_g08200,30.075,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],1.2E-11,60.5
1SS_Gp2_Lneg_g09376_i1,1SS_Gp2_Lneg_g09376,35.433,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],2.12E-16,72.8
1SS_Gp2_Lneg_g09567_i1,1SS_Gp2_Lneg_g09567,30.556,ref|XP_025991262.1|,venom allergen 2 [Solenopsis invicta],0.0000017,46.2
1SS_Gp2_Lneg_g13453_i1,1SS_Gp2_Lneg_g13453,50,ref|XP_026825262.1|,uncharacterized protein LOC113561895 [Ooceraea biroi],1.08E-14,67.4
5-HT1A_Lneg_g00281_i1,5-HT1A_Lneg_g00281,88.172,ref|XP_011164446.1|,5-hydroxytryptamine receptor 2A [Solenopsis invicta],0,638
abd-A_Lneg_g02386_i1,abd-A_Lneg_g02386,99.602,gb|KMQ97484.1|,abdominal-like protein [Lasius niger],4.52E-174,482
abd-A_Lneg_g07177_i1,abd-A_Lneg_g07177,100,ref|XP_011056338.1|,PREDICTED: homeobox protein abdominal-A homolog isoform X1 [Acromyrmex echinatior],3.56E-92,280
abd-B_Lneg_g00613_i1,abd-B_Lneg_g00613,99.39,ref|XP_011056335.1|,PREDICTED: homeobox protein Hox-D9 isoform X1 [Acromyrmex echinatior],4.25E-113,336
abd-B_Lneg_g12919_i1,abd-B_Lneg_g12919,95.64,gb|KMQ92423.1|,homeobox protein abdominal-b [Lasius niger],0,675
acid_lipase_Lneg_g01100_i1,acid_lipase_Lneg_g01100,70.197,ref|XP_012228756.1|,PREDICTED: lipase 3-like [Linepithema humile],0,609
acid_lipase_Lneg_g01624_i1,acid_lipase_Lneg_g01624,64.191,ref|XP_018053449.1|,PREDICTED: lipase 3-like [Atta colombica],6.82E-170,484
acid_lipase_Lneg_g01718_i1,acid_lipase_Lneg_g01718,58.553,ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],1.37E-129,379
acid_lipase_Lneg_g04821_i1,acid_lipase_Lneg_g04821,56.368,ref|XP_024882714.1|,uncharacterized protein LOC112461630 [Temnothorax curvispinosus],1.39E-165,489
acid_lipase_Lneg_g04822_i8,acid_lipase_Lneg_g04822,57.869,ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],5.14E-179,508
acid_lipase_Lneg_g05497_i3,acid_lipase_Lneg_g05497,58.543,ref|XP_012231375.1|,PREDICTED: lipase 3-like [Linepithema humile],8.84E-152,448
acid_lipase_Lneg_g05498_i3,acid_lipase_Lneg_g05498,55.108,ref|XP_024882714.1|,uncharacterized protein LOC112461630 [Temnothorax curvispinosus],1.54E-137,416
acid_lipase_Lneg_g07567_i1,acid_lipase_Lneg_g07567,71.812,ref|XP_012218010.1|,PREDICTED: lipase 3-like [Linepithema humile],3.79E-72,224
acid_lipase_Lneg_g08688_i1,acid_lipase_Lneg_g08688,52.564,ref|XP_024882714.1|,uncharacterized protein LOC112461630 [Temnothorax curvispinosus],2.55E-78,259
acid_lipase_Lneg_g08689_i1,acid_lipase_Lneg_g08689,55.635,ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],1.17E-170,486
acid_lipase_Lneg_g10295_i1,acid_lipase_Lneg_g10295,63.134,ref|XP_018048425.1|,PREDICTED: lipase 3-like [Atta colombica],0,585
acid_lipase_Lneg_g10811_i2,acid_lipase_Lneg_g10811,65.7,ref|XP_012214450.1|,PREDICTED: lipase 3-like [Linepithema humile],0,581
acid_lipase_Lneg_g11511_i1,acid_lipase_Lneg_g11511,67.411,ref|XP_011063655.1|,PREDICTED: lipase 1-like [Acromyrmex echinatior],8.82E-110,322
acid_lipase_Lneg_g11512_i1,acid_lipase_Lneg_g11512,57.385,ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],4.74E-175,498
acid_lipase_Lneg_g12208_i4,acid_lipase_Lneg_g12208,56.608,ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],6.94E-170,485
acid_lipase_Lneg_g12469_i1,acid_lipase_Lneg_g12469,55.904,ref|XP_012231435.1|,PREDICTED: lipase 1-like [Linepithema humile],5.42E-166,474
acid_lipase_Lneg_g14410_i3,acid_lipase_Lneg_g14410,58.543,ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],1.54E-160,461
acid_lipase_Lneg_g15685_i1,acid_lipase_Lneg_g15685,63.333,ref|XP_011063655.1|,PREDICTED: lipase 1-like [Acromyrmex echinatior],4.99E-45,155
acyl_carrier_protein_domain_Lneg_g00574_i1,acyl_carrier_protein_domain_Lneg_g00574,81.443,ref|XP_024884828.1|,"acyl carrier protein, mitochondrial isoform X3 [Temnothorax curvispinosus]",8.59E-110,313
acyl_carrier_protein_domain_Lneg_g05670_i1,acyl_carrier_protein_domain_Lneg_g05670,83.605,ref|XP_011165813.1|,tyrocidine synthase 1 [Solenopsis invicta],0,1496
acyl_carrier_protein_domain_Lneg_g16918_i1,acyl_carrier_protein_domain_Lneg_g16918,88.457,ref|XP_011173964.2|,cytosolic 10-formyltetrahydrofolate dehydrogenase isoform X1 [Solenopsis invicta],0,1676
acyl-CoA_desaturases_Lneg_g00905_i2,acyl-CoA_desaturases_Lneg_g00905,43.385,ref|XP_025988405.2|,uncharacterized protein LOC105200011 [Solenopsis invicta],2E-83,268
acyl-CoA_desaturases_Lneg_g04290_i1,acyl-CoA_desaturases_Lneg_g04290,42.105,ref|XP_026296160.1|,acyl-CoA Delta(11) desaturase-like [Apis mellifera],7.17E-87,269
acyl-CoA_desaturases_Lneg_g05153_i1,acyl-CoA_desaturases_Lneg_g05153,69.909,ref|XP_024891829.1|,uncharacterized protein LOC112467428 [Temnothorax curvispinosus],2.61E-174,510
acyl-CoA_desaturases_Lneg_g05154_i1,acyl-CoA_desaturases_Lneg_g05154,69.501,ref|XP_024891829.1|,uncharacterized protein LOC112467428 [Temnothorax curvispinosus],6.84E-179,522
acyl-CoA_desaturases_Lneg_g06526_i1,acyl-CoA_desaturases_Lneg_g06526,64.78,ref|XP_025988405.2|,uncharacterized protein LOC105200011 [Solenopsis invicta],4.88E-151,441
acyl-CoA_desaturases_Lneg_g08364_i1,acyl-CoA_desaturases_Lneg_g08364,93.458,ref|XP_011169281.1|,sphingolipid delta(4)-desaturase DES1 [Solenopsis invicta],0,621
acyl-CoA_desaturases_Lneg_g08638_i1,acyl-CoA_desaturases_Lneg_g08638,80.054,ref|XP_024871008.1|,acyl-CoA Delta(11) desaturase-like [Temnothorax curvispinosus],0,597
acyl-CoA_desaturases_Lneg_g09802_i1,acyl-CoA_desaturases_Lneg_g09802,98.148,gb|KMQ87750.1|,acyl- delta desaturase [Lasius niger],6.63E-161,449
acyl-CoA_desaturases_Lneg_g10523_i1,acyl-CoA_desaturases_Lneg_g10523,99.717,gb|KMQ91667.1|,acyl- delta desaturase [Lasius niger],0,738
acyl-CoA_desaturases_Lneg_g10586_i2,acyl-CoA_desaturases_Lneg_g10586,80.216,gb|KMQ87750.1|,acyl- delta desaturase [Lasius niger],5.16E-168,468
acyl-CoA_desaturases_Lneg_g10618_i1,acyl-CoA_desaturases_Lneg_g10618,85.446,ref|XP_024893372.1|,cytochrome b5-related protein-like [Temnothorax curvispinosus],0,769
acyl-CoA_desaturases_Lneg_g10849_i1,acyl-CoA_desaturases_Lneg_g10849,100,gb|KMQ93645.1|,acyl- delta desaturase [Lasius niger],0,794
acyl-CoA_desaturases_Lneg_g12514_i2,acyl-CoA_desaturases_Lneg_g12514,99.245,gb|KMQ84512.1|,acyl- delta desaturase [Lasius niger],0,554
acyl-CoA_desaturases_Lneg_g12515_i1,acyl-CoA_desaturases_Lneg_g12515,49.828,ref|XP_025988405.2|,uncharacterized protein LOC105200011 [Solenopsis invicta],3.86E-92,290
acyl-CoA_desaturases_Lneg_g12516_i4,acyl-CoA_desaturases_Lneg_g12516,52.397,ref|XP_025988405.2|,uncharacterized protein LOC105200011 [Solenopsis invicta],5.49E-98,305
acyl-CoA_desaturases_Lneg_g12868_i1,acyl-CoA_desaturases_Lneg_g12868,49.485,ref|XP_025988405.2|,uncharacterized protein LOC105200011 [Solenopsis invicta],2.51E-93,293
acyl-CoA_desaturases_Lneg_g14609_i1,acyl-CoA_desaturases_Lneg_g14609,96.196,gb|KMQ88934.1|,acyl- delta desaturase [Lasius niger],6.59E-130,369
