Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Lneg_g09000,73.38239583,-7.912018938,1.131321952,26.32538152,2.88473E-07,9.23287E-06,uncharacterized protein LOC105288217 [Ooceraea biroi]
Lneg_g03337,32.56214967,-7.424854085,0.968593735,20.01251451,7.6937E-06,0.000134058,protein hunchback [Apis mellifera]
Lneg_g00166,43.76727621,-7.144002586,0.94094613,20.36504737,6.39879E-06,0.000115709,ester hydrolase C11orf54 homolog [Temnothorax curvispinosus]
Lneg_g06990,75.95668183,-7.133953226,0.884133204,22.25807661,2.38354E-06,5.05025E-05,uncharacterized protein LOC112455182 [Temnothorax curvispinosus]
Lneg_g05131,34.70283062,-6.806747096,1.234806619,12.62390479,0.000380845,0.003047335,glutamyl aminopeptidase-like [Temnothorax curvispinosus]
Lneg_g04101,18.54766891,-6.578104751,0.993764949,18.16318141,2.02761E-05,0.000295468,antithrombin-iii-like protein [Lasius niger]
Lneg_g07738,38.55478665,-6.549574491,0.878651016,21.38843434,3.75027E-06,7.31682E-05,PREDICTED: protein hunchback-like [Acromyrmex echinatior]
Lneg_g02757,60.21463343,-6.54480944,0.824539892,22.33931752,2.2848E-06,4.88008E-05,antithrombin-iii-like isoform 1 protein [Lasius niger]
Lneg_g11344,23.77232029,-6.534289248,0.956590883,23.96590368,9.80569E-07,2.43853E-05,uncharacterized protein LOC105284102 [Ooceraea biroi]
Lneg_g00304,18.57647884,-6.283654507,1.011725937,14.52134275,0.000138581,0.001361895,uncharacterized protein LOC105284102 [Ooceraea biroi]
Lneg_g16811,23.61986523,-6.272958737,0.978967359,19.81570396,8.52791E-06,0.000144783,homeobox protein six4 [Lasius niger]
Lneg_g00670,29.27528797,-6.247167445,0.950564995,17.58716047,2.74435E-05,0.000376114,PREDICTED: aminopeptidase M1-like [Acromyrmex echinatior]
Lneg_g12052,81837.44702,-6.190910693,0.660098142,35.35618823,2.74595E-09,2.06316E-07,hexamerin [Solenopsis invicta]
Lneg_g12705,50932.85415,-6.085083427,0.760104537,22.85802594,1.74419E-06,3.88193E-05,arylphorin subunit alpha-like [Temnothorax curvispinosus]
Lneg_g15702,25415.73227,-6.004598657,0.710095027,30.36515562,3.579E-08,1.71565E-06,vitellogenin-2-like [Temnothorax curvispinosus]
Lneg_Vitellogening002,7365.595261,-5.99815952,0.640245227,37.92128432,7.36573E-10,6.96719E-08,vitellogenin-2-like [Temnothorax curvispinosus]
Lneg_g09657,12.46034644,-5.945172614,1.071656043,16.25282007,5.5427E-05,0.000659028,
Lneg_g10764,1499.57752,-5.875695105,0.82466077,18.25582517,1.93134E-05,0.000284571,
Lneg_g00684,11.42562225,-5.744784129,1.069164201,12.41778761,0.000425264,0.003322451,
Lneg_g10778,51.19247212,-5.673407372,0.768033185,20.59405892,5.6772E-06,0.000103876,
Lneg_Orcokining003,53.1614353,-5.552716494,0.717963463,24.02288902,9.51973E-07,2.39553E-05,
Lneg_g02813,9.930247725,-5.546830005,1.072602235,11.22227227,0.000808215,0.005567961,
Lneg_g17027,327.9216834,-5.53544491,0.77204329,17.39536262,3.03566E-05,0.000405545,
Lneg_g09152,79.76837124,-5.507377296,0.710562201,22.9483705,1.66411E-06,3.72719E-05,
Lneg_g14184,10.70339822,-5.482573662,1.056447801,12.72089386,0.000361593,0.002933136,
Lneg_g14554,15.65763437,-5.430561675,1.195164985,10.47146818,0.001212323,0.00767684,
Lneg_g14418,11.66022662,-5.427372428,1.081682688,10.98209646,0.000919963,0.006152833,
Lneg_g15572,9.550107176,-5.396435452,1.04207053,13.00321175,0.000310957,0.002620748,
Lneg_g09700,160.1754845,-5.392793243,0.748977118,18.84559475,1.41738E-05,0.000223116,
Lneg_g13780,25.86080865,-5.200832498,0.848109839,14.75431836,0.000122467,0.001245777,
Lneg_g12328,16.93058201,-5.194822556,1.010608716,14.56181674,0.000135635,0.001339162,
Lneg_g00957,7589.404125,-5.091176711,0.706733382,23.18876662,1.46853E-06,3.39685E-05,
Lneg_g04366,19.97073324,-5.07045319,0.910212164,11.83198293,0.00058222,0.004265584,
Lneg_g02510,15.44932496,-4.980530458,0.956272221,10.30909577,0.001323761,0.008293274,
Lneg_g15382,255.8510646,-4.925860531,0.69407391,19.7689161,8.73924E-06,0.000147897,
Lneg_g13845,5.513002068,-4.874244049,1.00197252,14.15285277,0.000168541,0.00159397,
Lneg_g02354,1343.99818,-4.8097422,0.612226206,25.9123712,3.57272E-07,1.08763E-05,
Lneg_g03747,38.28896497,-4.780809787,0.841562095,13.09276596,0.000296438,0.002530384,
Lneg_g01265,26.59410274,-4.777972451,0.72507814,21.31248498,3.90182E-06,7.54304E-05,
Lneg_g03230,69.13740388,-4.767287576,0.602430452,26.00093705,3.41252E-07,1.04486E-05,
Lneg_g05129,7.730819321,-4.751978835,0.957279402,16.96948734,3.79854E-05,0.000487188,
Lneg_g13289,6.183313252,-4.6699681,1.169386914,8.517472339,0.003517527,0.017804435,
Lneg_g00189,1561.476826,-4.667981411,0.604859558,23.58408048,1.19573E-06,2.89213E-05,
Lneg_g00142,5.46691866,-4.60825359,1.28932026,6.265991336,0.012307729,0.047945613,
Lneg_g04532,125.6589941,-4.492883255,0.741832,15.3384535,8.98685E-05,0.000961684,
Lneg_g00176,4.669261609,-4.414908609,1.214772635,7.399566816,0.006523959,0.02907649,
Lneg_g12703,108352.4464,-4.370621026,0.491186066,41.93115223,9.45443E-11,1.20675E-08,
Lneg_g01411,6.439311862,-4.194269686,0.981265178,8.709468357,0.003165615,0.016383257,
Lneg_g07272,526.6593544,-4.166036307,0.44799763,47.46035267,5.61277E-12,9.5906E-10,
Lneg_g07581,279.2451654,-4.134327053,0.57952275,27.83704628,1.31975E-07,5.04744E-06,
Lneg_g01923,43.46921091,-4.064478937,0.692208336,14.58816696,0.000133752,0.001331735,
Lneg_g14680,57.3868806,-3.966878772,0.704026741,15.40122896,8.69317E-05,0.000936882,
Lneg_g11490,49.53637583,-3.925681011,0.548211673,29.02835346,7.13267E-08,2.99855E-06,
Lneg_g04263,32.21280049,-3.90002037,0.899437152,10.48693532,0.001202216,0.00762195,
Lneg_g15127,5.884979526,-3.896041713,0.928180317,8.785653337,0.003036088,0.015813332,
Lneg_g12969,9.402454744,-3.793209315,0.765537363,12.36422397,0.000437639,0.003401579,
Lneg_g04093,33.7792114,-3.789459238,0.616741611,18.36140415,1.82722E-05,0.000272642,
Lneg_g08113,4.923961824,-3.712367004,0.87661359,10.12523813,0.001462528,0.008992465,
Lneg_g05933,7.123734092,-3.655639964,0.752188787,16.22621172,5.6211E-05,0.000666106,
Lneg_g16868,10.12961245,-3.64999529,0.925154566,11.10016244,0.000863202,0.005862024,
Lneg_g06295,141.9486824,-3.579897344,0.613805542,16.0382845,6.20745E-05,0.000717923,
Lneg_g06004,304.0789763,-3.514106004,0.79281485,11.05997739,0.000882112,0.005956084,
Lneg_g02144,78.97418479,-3.487059095,0.654027181,13.47407139,0.000241883,0.002153367,
Lneg_g05130,10.22102815,-3.451792517,0.737261584,12.62668182,0.00038028,0.00304607,
Lneg_g14499,9.211080155,-3.401646182,0.754867325,11.90635587,0.000559427,0.004147357,
Lneg_g02533,55.20295176,-3.349222488,0.70687589,10.33267193,0.001306959,0.008207422,
Lneg_g13477,6.808427042,-3.279757575,0.789084799,11.22903748,0.000805274,0.005554084,
Lneg_g04328,100.2148935,-3.258514726,0.642338735,16.20333716,5.68938E-05,0.000671943,
Lneg_g03333,807.5828204,-3.222287719,0.374424619,52.12555047,5.20631E-13,1.28269E-10,
Lneg_g10117,263.6636486,-3.134353727,0.540469152,22.22212442,2.42859E-06,5.10486E-05,
Lneg_g01871,36.92977111,-3.118842396,0.674374204,13.23202738,0.000275206,0.002378085,
Lneg_g04985,97.83973724,-3.111731633,0.576118626,13.76716233,0.000206922,0.001888597,
Lneg_g04559,51.08045637,-3.073245127,0.618362085,13.07622711,0.000299067,0.002544834,
Lneg_FASg069,28.00569364,-3.068340244,0.520555513,26.97483639,2.06121E-07,7.15951E-06,
Lneg_g11016,2046.357224,-3.057789296,0.422887376,40.54493138,1.92146E-10,2.18882E-08,
Lneg_g16007,19.85434839,-3.057517332,0.557034095,20.36926719,6.3847E-06,0.000115709,
