Lneg_protein,Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Orthogroup,FlybaseProteinID,BLASTPProteinMatch,BLASTP_annotation,Flybase_GeneID,FB_GenName,Flybase_Gene,,,,,,,,,,,
acid_lipase_Lneg_g01718,Lneg_g01718,498.3248063,0.890883144,0.247074377,12.89988501,0.000328602,0.002728223,OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],"FBgn0023496,FBgn0032264,FBgn0032265,FBgn0051871","Lipase 1, Lipase 4, CG18301, CG31871","Lip 1, Lip4, CG18301,CG31871",,,,,,,,,,,
acid_lipase_Lneg_g05497,Lneg_g05497,212.3086725,1.795577536,0.51552894,10.92533015,0.000948583,0.006311433,OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",ref|XP_012231375.1|,PREDICTED: lipase 3-like [Linepithema humile],"FBgn0023496,FBgn0032264,FBgn0032265,FBgn0051872","Lipase 1, Lipase 4, CG18301, CG31872","Lip 1, Lip4, CG18301,CG31872",,,,,,,,,,,
acid_lipase_Lneg_g05498,Lneg_g05498,123.9229967,1.299496179,0.407659363,9.809279386,0.001736335,0.010270651,OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",ref|XP_024882714.1|,uncharacterized protein LOC112461630 [Temnothorax curvispinosus],"FBgn0023496,FBgn0032264,FBgn0032265,FBgn0051873","Lipase 1, Lipase 4, CG18301, CG31873","Lip 1, Lip4, CG18301,CG31873",,,,,,,,,,,
acid_lipase_Lneg_g08689,Lneg_g08689,345.7721135,0.92625417,0.293175527,10.02556265,0.001543825,0.009388796,OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],"FBgn0023496,FBgn0032264,FBgn0032265,FBgn0051874","Lipase 1, Lipase 4, CG18301, CG31874","Lip 1, Lip4, CG18301,CG31874",,,,,,,,,,,
acid_lipase_Lneg_g12208,Lneg_g12208,77.55648552,0.804245863,0.250318518,10.1553189,0.001438855,0.00887266,OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],"FBgn0023496,FBgn0032264,FBgn0032265,FBgn0051875","Lipase 1, Lipase 4, CG18301, CG31875","Lip 1, Lip4, CG18301,CG31875",,,,,,,,,,,
dRheb_Lneg_g03432,Lneg_g03432,1778.69674,0.57846138,0.164803742,12.25265943,0.000464596,0.003570809,OG0002403,"FBpp0078343, FBpp0078342",ref|XP_011351732.1|,GTP-binding protein Rheb homolog [Ooceraea biroi],FBgn0041191,Ras homolog enriched in brain,Rheb,,,,,,,,,,,
Juvenile_hormone_acid_O-methyltransferase_Lneg_g12350,Lneg_g12350,154.5129558,2.655825446,0.475331902,25.40296649,4.65202E-07,1.35394E-05,OG0000145,"FBpp0099678, FBpp0309208",ref|XP_012231895.1|,PREDICTED: uncharacterized protein LOC105677695 [Linepithema humile],FBgn0028841,juvenile hormone acid methyltransferase,jhamt,,,,,,,,,,,
Juvenile_hormone_acid_O-methyltransferase_Lneg_g15715,Lneg_g15715,1089.411542,3.371129453,0.378463782,68.25244873,1.43848E-16,1.69325E-13,OG0000145,"FBpp0099678, FBpp0309208",ref|XP_012215617.1|,PREDICTED: uncharacterized protein LOC105668024 [Linepithema humile],FBgn0028842,juvenile hormone acid methyltransferase,jhamt,,,,,,,,,,,
Lneg_g02494,Lneg_g02494,2880.56911,0.719446472,0.213262023,11.19360155,0.000820799,0.005642792,OG0004408,"FBpp0074644, FBpp0074642, FBpp0306009, FBpp0074643",gb|KMQ87614.1|,sterol regulatory element-binding protein [Lasius niger],FBgn0261283,Sterol regulatory element binding protein,SREBP,,,,,,,,,,,
Lneg_g04689,Lneg_g04689,390.6635853,1.54066519,0.214338158,50.86586407,9.88987E-13,2.3283E-10,OG0005670,"FBpp0312007, FBpp0073903",ref|XP_011058925.1|,PREDICTED: diphosphomevalonate decarboxylase [Acromyrmex echinatior],FBgn0030683,Mevalonate diphosphate decarboxylase,Mvd,,,,,,,,,,,
Lneg_g07253,Lneg_g07253,2833.546927,0.215720626,0.078064989,7.627633179,0.005748069,0.026338684,OG0002808,"FBpp0112403, FBpp0112402, FBpp0112404, FBpp0306959",ref|XP_025987730.2|,eukaryotic translation initiation factor 4B isoform X2 [Solenopsis invicta],FBgn0020660,eukaryotic translation initiation factor 4B,elF4B,,,,,,,,,,,
Lneg_g08463,Lneg_g08463,159.6126617,2.268752449,0.314271127,48.80515679,2.82696E-12,5.75938E-10,OG0002569,"FBpp0305746, FBpp0073106, FBpp0073104, FBpp0073105",ref|XP_019886457.1|,neural/ectodermal development factor IMP-L2 [Ooceraea biroi],FBgn0001257,Ecdysone-inducible gene L2,ImpL2,,,,,,,,,,,
Lneg_g08960,Lneg_g08960,670.6845148,0.45797168,0.120944822,14.46979508,0.000142425,0.001395793,OG0004615,"FBpp0074121, FBpp0302657",ref|XP_011051421.1|,PREDICTED: density-regulated protein [Acromyrmex echinatior],FBgn0030802,Density regulated protein,DENR,,,,,,,,,,,
Lneg_g13159,Lneg_g13159,181.3352861,0.501017967,0.166458728,9.039541486,0.002642019,0.014193483,OG0004264,"FBpp0311239, FBpp0071131",ref|XP_011168540.1|,C-factor [Solenopsis invicta],FBgn0030026,sniffer,sni,,,,,,,,,,,
Lneg_g14147,Lneg_g14147,2153.787093,0.360976662,0.06124626,35.08689453,3.15316E-09,2.22311E-07,OG0000205,"FBpp0310062, FBpp0310063, FBpp0079148",ref|NP_476805.1|,"microtubule star, isoform A [Drosophila melanogaster]",FBgn0004177,microtubule star,mts,,,,,,,,,,,
Lneg_g14479,Lneg_g14479,294.166188,2.456085128,0.38574769,35.25049085,2.89909E-09,2.13284E-07,OG0002245,"FBpp0310390, FBpp0302979, FBpp0077607",ref|XP_018058787.1|,PREDICTED: apolipoprotein D-like [Atta colombica],FBgn0053126,Neural lazarillo,Nlaz,,,,,,,,,,,
Lneg_g14480,Lneg_g14480,24.5118137,0.85684585,0.330545222,6.686561485,0.009714239,0.039688644,OG0002245,"FBpp0310390, FBpp0302979, FBpp0077607",ref|XP_011052710.1|,PREDICTED: apolipoprotein D-like [Acromyrmex echinatior],FBgn0053126,Neural lazarillo,Nlaz,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
