Caste,Vg identified,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Annotation_BLAST,Species,ID,DatabaseID,,,,,,,,,,,,,
Workers-Inside,Lneg_Vitellogening002,7365.595,-5.99816,0.640245,37.92128,7.37E-10,6.97E-08,***,Vitellogenin [Lasius niger],Lasius niger,KMQ94142.1,KMQ94142.1_Protblast,,,,,,,,,,,,,
Workers-Outside,Lneg_g03782,5.6014,1.776453,0.66874,6.151265,0.013132,0.050478,.,vitellogenin-like protein C [Formica exsecta],Formica exsecta,AII96915.1,FexsVGC,,,,,,,,,,,,,
Workers-inside,Lneg_g11491,468808.5,-5.33862,0.83929,13.72376,#N/A,#N/A,,vitellogenin precursor [Lasius niger],Lasius niger,KMQ94517.1,KMQ94517.1,,,,,,,,,,,,,
Workers-Outside,Lneg_g15702,25415.73,-6.0046,0.710095,30.36516,3.58E-08,1.72E-06,***,vitellogenin-like protein A [Formica exsecta],Formica exsecta,AII96913.1,Fexs_VglikeA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Queen-Old,Lneg_Vitellogening002,5580.378,0.36636,0.576678,0.336983,0.561576,0.755627,,Vitellogenin [Lasius niger],Lasius niger,KMQ94142.1,KMQ94142.1_Protblast,,,,,,,,,,,,,
Queen-Old,Lneg_g03782,NOT EXPRESSED,NOT EXPRESSED,NOT EXPRESSED,NOT EXPRESSED,NOT EXPRESSED,NOT EXPRESSED,,vitellogenin-like protein C [Formica exsecta],Formica exsecta,AII96915.1,FexsVGC,,,,,,,,,,,,,
Queen-Young,Lneg_g11491,1744124,-1.61856,0.586165,7.158142,0.007462,0.105723,,vitellogenin precursor [Lasius niger],Lasius niger,KMQ94517.1,KMQ94517.1,,,,,,,,,,,,,
Queen-Old,Lneg_g15702,17779.64,0.221867,0.486445,0.175151,0.675574,0.828274,,vitellogenin-like protein A [Formica exsecta],Formica exsecta,AII96913.1,Fexs_VglikeA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
In Red: Annotated as 'Vitellogenin' by GAGA in the genome,,,,,,,,,,,,,,,,,,,,,,,,,
