Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Lneg_g13769,1974.932092,5.76312668,0.621641283,57.3573436,3.63404E-14,1.42589E-11,defensin-like [Temnothorax curvispinosus]
Lneg_g07579,2821.167944,5.747699203,0.610344165,62.19713141,3.1074E-15,1.82888E-12,fatty acid synthase [Solenopsis invicta]
Lneg_g15688,51.31634554,5.44228297,0.488861884,109.715582,1.13109E-25,5.9914E-22,glucose dehydrogenase [Lasius niger]
Lneg_g14855,289.1287631,5.214210899,0.396761905,129.3384525,5.71864E-30,6.05833E-26,uncharacterized protein LOC105194944 [Solenopsis invicta]
Lneg_g11407,44.82208284,4.992563922,0.661703589,43.65855436,3.90964E-11,5.44984E-09,uncharacterized protein LOC112465231 [Temnothorax curvispinosus]
Lneg_g06582,13.94899998,4.945659819,0.63998957,57.91570348,2.73594E-14,1.11479E-11,uncharacterized protein LOC105199890 [Solenopsis invicta]
Lneg_g02455,1287.611968,4.172945956,0.386207989,92.19365773,7.85963E-22,2.7755E-18,angiotensin-converting enzyme [Solenopsis invicta]
Lneg_g09339,10.19574525,4.088290228,0.767454921,25.42641501,4.59582E-07,1.34498E-05,hypothetical protein RF55_3517 [Lasius niger]
Lneg_g14927,49.73115245,4.0383392,0.503024011,55.834372,7.8841E-14,2.78414E-11,PREDICTED: uncharacterized protein LOC105148270 [Acromyrmex echinatior]
Lneg_g09567,92.52595897,3.985979982,0.870148899,14.71312647,0.000125172,0.0012589,venom allergen 2 [Solenopsis invicta]
Lneg_g15336,1292.445292,3.907011606,0.488484327,47.01053733,7.06061E-12,1.16875E-09,"short/branched chain specific acyl-CoA dehydrogenase, mitochondrial [Ooceraea biroi]"
Lneg_g04505,35.09453446,3.854560889,0.561883858,41.54786385,1.1502E-10,1.45062E-08,PREDICTED: peroxisomal hydratase-dehydrogenase-epimerase-like [Atta colombica]
Lneg_g10909,153.5580194,3.735243143,0.758398175,18.49018203,1.70782E-05,0.000258097,uncharacterized protein LOC105199243 [Solenopsis invicta]
Lneg_g10639,33.93989517,3.648299028,0.557171263,32.64230391,1.10777E-08,6.39553E-07,G-protein coupled receptor Mth2 [Ooceraea biroi]
Lneg_g07388,20.57076769,3.632612965,0.748595273,17.69742255,2.58977E-05,0.000360066,PREDICTED: LOW QUALITY PROTEIN: G-protein coupled receptor Mth2-like [Linepithema humile]
Lneg_g08059,5.617699859,3.629296897,0.733951078,22.65823812,1.93529E-06,4.24481E-05,
Lneg_g05256,38.34572578,3.624208137,0.670132606,25.2654249,4.99584E-07,1.43821E-05,
Lneg_g16666,124.8542223,3.533549339,0.532372539,35.2042117,2.96881E-09,2.15422E-07,
Lneg_g08239,103.7141479,3.453554639,0.476208044,44.25311754,2.88545E-11,4.07579E-09,
Lneg_g05463,65.21539786,3.421191541,0.585090445,28.81079151,7.98052E-08,3.22693E-06,
Lneg_g15715,1089.411542,3.371129453,0.378463782,68.25244873,1.43848E-16,1.69325E-13,
Lneg_g07602,544.7913547,3.352796737,0.70039703,14.20773596,0.000163696,0.00155673,
Lneg_g16402,10289.87785,3.351323033,0.38643998,64.61319213,9.11431E-16,7.42746E-13,
Lneg_g16574,5.046976937,3.280366126,0.979741125,9.383010473,0.002190056,0.012295418,
Lneg_g06614,7.772563654,3.213010193,0.932021765,9.862901573,0.001686449,0.010042857,
Lneg_g01358,1611.710228,3.194055242,0.659812959,19.49200061,1.01022E-05,0.000168274,
Lneg_g11767,1640.803844,3.04519018,0.378198978,54.09842699,1.90694E-13,5.31634E-11,
Lneg_g08634,1625.897964,2.989589207,0.360059293,60.52120935,7.279E-15,3.50517E-12,
Lneg_g05464,39.36748989,2.956688426,0.859066876,8.191731831,0.004208173,0.020582358,
Lneg_g02991,35.27566483,2.947318838,0.730687742,12.21677475,0.000473617,0.003620132,
Lneg_g05873,116.8841536,2.830125595,0.553197222,23.17068183,1.4824E-06,3.42148E-05,
Lneg_g11044,1721.278069,2.794936388,0.308520082,74.36945733,6.47836E-18,1.14386E-14,
Lneg_g11135,109.9591111,2.759114194,0.378166618,49.23694373,2.26838E-12,5.00651E-10,
Lneg_g01481,105.7797962,2.731160829,0.837489058,6.900467445,0.008617322,0.036173021,
Lneg_g03746,44.97847853,2.726773313,0.43276915,36.58428221,1.46206E-09,1.25927E-07,
Lneg_g16637,599.4448278,2.72098454,0.332715017,61.16747167,5.24205E-15,2.77671E-12,
Lneg_g07356,3.302300691,2.720482024,0.853037245,9.811454426,0.001734283,0.010264242,
Lneg_g04149,15.27324482,2.718054048,0.566081849,18.83177453,1.42769E-05,0.000224405,
Lneg_g03223,1820.821846,2.708190905,0.676690193,12.1413351,0.000493165,0.003745223,
Lneg_g06052,205.3173383,2.705823438,0.440567017,34.76235305,3.72508E-09,2.56256E-07,
Lneg_g16466,268.9363642,2.682958082,0.351583257,53.26198097,2.91902E-13,7.54245E-11,
Lneg_g11464,14.83685573,2.681547487,0.640905725,11.89923155,0.000561571,0.004160105,
Lneg_g12350,154.5129558,2.655825446,0.475331902,25.40296649,4.65202E-07,1.35394E-05,
Lneg_g05257,441.3330449,2.640636262,0.342683991,53.14273213,3.10171E-13,7.82369E-11,
Lneg_g13158,1143.215047,2.633230391,0.310065815,66.26864017,3.93469E-16,3.78947E-13,
