Orthogroup,FlybaseProteinID,ProteinName,Gene Name
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",acid_lipase_Lneg_g11511,Lneg_g11511
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g08689, Lneg_g08689
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g05497, Lneg_g05497
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g14410, Lneg_g14410
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g04821, Lneg_g04821
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g04822, Lneg_g04822
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g11512, Lneg_g11512
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g12208, Lneg_g12208
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g05498, Lneg_g05498
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g08688, Lneg_g08688
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g12469, Lneg_g12469
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g01718, Lneg_g01718
OG0000145,"FBpp0099678, FBpp0309208",Juvenile_hormone_acid_O-methyltransferase_Lneg_g14445,Lneg_g14445
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g15715, Lneg_g15715
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g15230, Lneg_g15230
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g00868, Lneg_g00868
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g11499, Lneg_g11499
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g12350, Lneg_g12350
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g00112, Lneg_g00112
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g02791, Lneg_g02791
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g14729, Lneg_g14729
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g14446, Lneg_g14446
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g04593, Lneg_g04593
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g01901, Lneg_g01901
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g01902, Lneg_g01902
OG0000145,"FBpp0099678, FBpp0309208", JH_acid_methyltransferase_Lneg_g13315,Lneg_g13315
