Orthogroup,FlybaseProteinID,ProteinName,Gene Name
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",acid_lipase_Lneg_g11511,Lneg_g11511
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g08689, Lneg_g08689
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g05497, Lneg_g05497
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g14410, Lneg_g14410
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g04821, Lneg_g04821
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g04822, Lneg_g04822
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g11512, Lneg_g11512
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g12208, Lneg_g12208
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g05498, Lneg_g05498
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g08688, Lneg_g08688
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g12469, Lneg_g12469
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221", acid_lipase_Lneg_g01718, Lneg_g01718
OG0000145,"FBpp0099678, FBpp0309208",Juvenile_hormone_acid_O-methyltransferase_Lneg_g14445,Lneg_g14445
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g15715, Lneg_g15715
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g15230, Lneg_g15230
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g00868, Lneg_g00868
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g11499, Lneg_g11499
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g12350, Lneg_g12350
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g00112, Lneg_g00112
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g02791, Lneg_g02791
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g14729, Lneg_g14729
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g14446, Lneg_g14446
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g04593, Lneg_g04593
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g01901, Lneg_g01901
OG0000145,"FBpp0099678, FBpp0309208", Juvenile_hormone_acid_O-methyltransferase_Lneg_g01902, Lneg_g01902
OG0000145,"FBpp0099678, FBpp0309208", JH_acid_methyltransferase_Lneg_g13315,Lneg_g13315
OG0000205,"FBpp0310062, FBpp0310063, FBpp0079148",Lneg_g14147,Lneg_g14147
OG0002245,"FBpp0310390, FBpp0302979, FBpp0077607",Lneg_g14479,Lneg_g14479
OG0002245,"FBpp0310390, FBpp0302979, FBpp0077607", Lneg_g14480, Lneg_g14480
OG0002403,"FBpp0078343, FBpp0078342",dRheb_Lneg_g03432,Lneg_g03432
OG0002569,"FBpp0305746, FBpp0073106, FBpp0073104, FBpp0073105",Lneg_g08463,Lneg_g08463
OG0002808,"FBpp0112403, FBpp0112402, FBpp0112404, FBpp0306959",Lneg_g07253,Lneg_g07253
OG0004264,"FBpp0311239, FBpp0071131",Lneg_g13159,Lneg_g13159
OG0004264,"FBpp0311239, FBpp0071131", Lneg_g03989, Lneg_g03989
OG0004408,"FBpp0074644, FBpp0074642, FBpp0306009, FBpp0074643",Lneg_g02494,Lneg_g02494
OG0004615,"FBpp0074121, FBpp0302657",Lneg_g08960,Lneg_g08960
OG0005670,"FBpp0312007, FBpp0073903",Lneg_g04689,Lneg_g04689
