Lneg_protein,Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Orthogroup,FlybaseProteinID,BLASTPProteinMatch,BLASTP_annotation,Flybase_GeneID,FB_GenName,Flybase_Gene,,,,,,,,,,,
acid_lipase_Lneg_g14410,Lneg_g14410,742.4525464,-2.582411942,0.757649049,8.877601767,0.002886905,0.015140532,OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221",ref|XP_012231416.1|,PREDICTED: lipase 3-like [Linepithema humile],"FBgn0023496,FBgn0032264,FBgn0032265,FBgn0051875","Lipase 1, Lipase 4, CG18301, CG31875","Lip 1, Lip4, CG18301,CG31875",,,,,,,,,,,
Juvenile_hormone_acid_O-methyltransferase_Lneg_g01901,Lneg_g01901,158.971991,-0.811888056,0.263980033,9.068026895,0.002601176,0.014038134,OG0000145,"FBpp0099678, FBpp0309208",ref|XP_024873605.1|,juvenile hormone acid O-methyltransferase-like [Temnothorax curvispinosus],FBgn0028841,juvenile hormone acid methyltransferase,jhamt,,,,,,,,,,,
Juvenile_hormone_acid_O-methyltransferase_Lneg_g02791,Lneg_g02791,17608.89516,-1.132921312,0.251866946,17.78251192,2.47649E-05,0.000347957,OG0000145,"FBpp0099678, FBpp0309208",ref|XP_026825590.1|,uncharacterized protein LOC105281469 [Ooceraea biroi],FBgn0028842,juvenile hormone acid methyltransferase,jhamt,,,,,,,,,,,
Juvenile_hormone_acid_O-methyltransferase_Lneg_g14446,Lneg_g14446,17428.01966,-1.112321589,0.27071019,14.74562086,0.000123033,0.001248478,OG0000145,"FBpp0099678, FBpp0309208",ref|XP_012215617.1|,PREDICTED: uncharacterized protein LOC105668024 [Linepithema humile],FBgn0028842,juvenile hormone acid methyltransferase,jhamt,,,,,,,,,,,
Juvenile_hormone_acid_O-methyltransferase_Lneg_g14729,Lneg_g14729,72.79536563,-1.241052109,0.31938308,12.55423913,0.000395309,0.003137003,OG0000145,"FBpp0099678, FBpp0309208",ref|XP_026825590.1|,uncharacterized protein LOC105281469 [Ooceraea biroi],FBgn0028841,juvenile hormone acid methyltransferase,jhamt,,,,,,,,,,,
Lneg_g01476,Lneg_g01476,11578.17571,-1.416613445,0.250451191,30.00211794,4.31575E-08,2.05027E-06,OG0001312,"FBpp0085804, FBpp0085807, FBpp0311868, FBpp0088908",ref|XP_024878788.1|,juvenile hormone epoxide hydrolase 1-like [Temnothorax curvispinosus],"FBgn0010053,FBgn0034405,FBgn0034406","Juvenile hormone epoxide hydrolase 1, Juvenile hormone epoxide hydrolase 2, Juvenile hormone epoxide hydrolase 3","jheh1,jheh2,jheh3",,,,,,,,,,,
Lneg_g07402,Lneg_g07402,657.6583532,-0.621295373,0.184708532,10.35300277,0.001292642,0.008127154,OG0001913,"FBpp0085164, FBpp0085163, FBpp0305520, FBpp0085160, FBpp0085161",gb|KMQ95000.1|,"cyclin-g2 isoform x1, partial [Lasius niger]",FBgn0039858,Cyclin G,CycG,,,,,,,,,,,
Lneg_g09087,Lneg_g09087,495.3417597,-0.470624024,0.125875733,13.79620701,0.000203747,0.001864428,OG0005234,"FBpp0304936, FBpp0074588",ref|XP_024892256.1|,tuberin isoform X1 [Temnothorax curvispinosus],FBgn0005198,gigas,gig,,,,,,,,,,,
Lneg_g16122,Lneg_g16122,296.3509703,-0.327424775,0.118904625,7.641816553,0.005703045,0.026189018,OG0004081,"FBpp0082240, FBpp0292357",ref|XP_025997426.1|,elongator complex protein 6 [Solenopsis invicta],FBgn0086371,Elongator complex protein 6,Elp6,,,,,,,,,,,
Thor_Lneg_g16508,Lneg_g16508,5863.95274,-1.389184769,0.227503998,32.83650914,1.00244E-08,5.89994E-07,OG0006749,"FBpp0311456, FBpp0077213",ref|NP_477295.1|,"thor, isoform A [Drosophila melanogaster]",FBgn0261560,Thor,thor,,,,,,,,,,,
