Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,,,,,,,,,,,,,,,,
LnegCSP12,32.94312,4.823348,1.132193,15.82912,6.93E-05,0.018614,ejaculatory bulb-specific protein 3-like [Temnothorax curvispinosus],,,,,,,,,,,,,,,,,,
Lneg_g04488,127.7879,4.613872,0.775172,30.03126,4.25E-08,5.17E-05,uncharacterized protein LOC112466906 [Temnothorax curvispinosus],,,,,,,,,,,,,,,,,,
Lneg_g15685,31.1106,4.004481,0.619263,41.01356,1.51E-10,4.90E-07,PREDICTED: lipase 1-like [Acromyrmex echinatior],,,,,,,,,,,,,,,,,,
Lneg_g10988,695.6384,3.90856,0.721256,24.22925,8.55E-07,0.000757,cytochrome P450 4C1-like [Temnothorax curvispinosus],,,,,,,,,,,,,,,,,,
Lneg_g12868,23865.46,3.795697,0.885983,14.80407,0.000119,0.024696,uncharacterized protein LOC105200011 [Solenopsis invicta],,,,,,,,,,,,,,,,,,
Lneg_g10987,835.3514,3.533098,0.757773,18.47257,1.72E-05,0.007624,cytochrome P450 4C1-like [Temnothorax curvispinosus],,,,,,,,,,,,,,,,,,
Lneg_g10923,36.22706,3.385496,0.856364,13.82568,0.000201,0.029883,G-protein coupled receptor Mth2 isoform X1 [Ooceraea biroi],,,,,,,,,,,,,,,,,,
Lneg_g12702,28.21278,3.332898,0.714824,21.54639,3.45E-06,0.002241,uncharacterized protein LOC105288080 [Ooceraea biroi],,,,,,,,,,,,,,,,,,
Lneg_g02994,2729.972,3.256376,0.83532,12.92445,0.000324,0.033574,larval cuticle protein lcp-17 [Lasius niger],,,,,,,,,,,,,,,,,,
Lneg_g01709,26.33185,3.019103,0.656952,18.83667,1.42E-05,0.006599,PREDICTED: uncharacterized protein LOC105153783 [Acromyrmex echinatior],,,,,,,,,,,,,,,,,,
Lneg_g04526,162.0787,2.996672,0.859606,11.25022,0.000796,0.0494,hypothetical protein RF55_12861 [Lasius niger],,,,,,,,,,,,,,,,,,
Lneg_g09489,70.83696,2.951939,0.708756,15.52235,8.15E-05,0.020344,cytochrome P450 4C1-like [Temnothorax curvispinosus],,,,,,,,,,,,,,,,,,
Lneg_g04489,74.83387,2.758053,0.602746,20.14064,7.20E-06,0.004119,hypothetical protein RF55_5210 [Lasius niger],,,,,,,,,,,,,,,,,,
Lneg_g12509,398.407,2.732512,0.572257,21.8913,2.89E-06,0.002027,cytochrome P450 6k1 [Solenopsis invicta],,,,,,,,,,,,,,,,,,
Lneg_g03700,515.8041,2.705377,0.702251,14.2031,0.000164,0.028597,,,,,,,,,,,,,,,,,,,
Lneg_g05870,13644.96,2.649918,0.708979,13.16976,0.000285,0.032192,,,,,,,,,,,,,,,,,,,
Lneg_g08838,4223.294,2.528898,0.529999,21.87134,2.92E-06,0.002027,,,,,,,,,,,,,,,,,,,
Lneg_g12508,19234.52,2.510612,0.536542,21.08234,4.40E-06,0.002676,,,,,,,,,,,,,,,,,,,
Lneg_g10557,49.91986,2.442898,0.474149,26.10609,3.23E-07,0.000349,,,,,,,,,,,,,,,,,,,
Lneg_g11610,976.3601,2.367295,0.611687,13.89198,0.000194,0.029883,,,,,,,,,,,,,,,,,,,
Lneg_g07868,719.8722,2.348953,0.645151,11.65071,0.000642,0.047591,,,,,,,,,,,,,,,,,,,
Lneg_g15236,676.2163,2.321404,0.535175,17.99465,2.22E-05,0.009222,,,,,,,,,,,,,,,,,,,
Lneg_g09376,2265.955,2.28487,0.581198,15.21793,9.58E-05,0.021677,,,,,,,,,,,,,,,,,,,
Lneg_g16403,2214.537,2.228788,0.559426,14.41818,0.000146,0.02823,,,,,,,,,,,,,,,,,,,
Lneg_g02606,87.87415,2.193496,0.489854,19.42348,1.05E-05,0.005661,,,,,,,,,,,,,,,,,,,
Lneg_g13745,654.5654,2.173661,0.614892,11.33444,0.000761,0.048959,,,,,,,,,,,,,,,,,,,
Lneg_g10558,127.5392,2.046458,0.528942,13.63979,0.000221,0.029929,,,,,,,,,,,,,,,,,,,
Lneg_g05553,74.81997,2.021352,0.502536,16.2097,5.67E-05,0.017243,,,,,,,,,,,,,,,,,,,
Lneg_g07477,70.47924,1.917368,0.563638,11.55273,0.000676,0.047703,,,,,,,,,,,,,,,,,,,
Lneg_g14465,205.295,1.815304,0.460357,11.63543,0.000647,0.047591,,,,,,,,,,,,,,,,,,,
Lneg_g11044,576.9694,1.791253,0.532149,11.19467,0.00082,0.0494,,,,,,,,,,,,,,,,,,,
Lneg_g05164,51.05335,1.772815,0.490419,13.0795,0.000299,0.033035,,,,,,,,,,,,,,,,,,,
Lneg_g10536,128.3124,1.736152,0.49499,12.31573,0.000449,0.040848,,,,,,,,,,,,,,,,,,,
Lneg_g15599,96.5686,1.722886,0.460367,14.19774,0.000165,0.028597,,,,,,,,,,,,,,,,,,,
Lneg_g00140,1245.696,1.695712,0.508083,11.21232,0.000813,0.0494,,,,,,,,,,,,,,,,,,,
Lneg_g02538,2565.924,1.576015,0.392692,15.79004,7.08E-05,0.018614,,,,,,,,,,,,,,,,,,,
Lneg_g10026,54.62757,1.558992,0.396333,15.41004,8.65E-05,0.020626,,,,,,,,,,,,,,,,,,,
Lneg_g02593,12799.51,1.548129,0.455169,11.13954,0.000845,0.049839,,,,,,,,,,,,,,,,,,,
Lneg_g05543,251.3034,1.530809,0.450061,11.56725,0.000671,0.047703,,,,,,,,,,,,,,,,,,,
Lneg_g12581,48.60499,1.448461,0.407333,12.82436,0.000342,0.034323,,,,,,,,,,,,,,,,,,,
