Orthogroup,FlybaseProteinID,Lneg_protein
OG0000069,"FBpp0307570, FBpp0288759, FBpp0297601, FBpp0288758, FBpp0293569, FBpp0082975, FBpp0082974, FBpp0293570, FBpp0293571, FBpp0307569, FBpp0082976, FBpp0082977, FBpp0082978, FBpp0288760",Lneg_g01830
OG0000069,"FBpp0084577, FBpp0084578, FBpp0084575, FBpp0084574, FBpp0428201, FBpp0084579, FBpp0084573",Lneg_g03036
OG0000076,"FBpp0293062, FBpp0079682, FBpp0304062, FBpp0079683, FBpp0079693, FBpp0079713, FBpp0309221","acid_lipase_Lneg_g11511, acid_lipase_Lneg_g08689, acid_lipase_Lneg_g05497, acid_lipase_Lneg_g14410, acid_lipase_Lneg_g04821, acid_lipase_Lneg_g04822_i8, acid_lipase_Lneg_g11512, acid_lipase_Lneg_g12208, acid_lipase_Lneg_g05498, acid_lipase_Lneg_g08688, acid_lipase_Lneg_g12469, acid_lipase_Lneg_g01718"
OG0000097,"FBpp0070452, FBpp0070449, FBpp0070453, FBpp0089162, FBpp0089158, FBpp0070451, FBpp0070450, FBpp0089159, FBpp0304139, FBpp0304140, FBpp0070454, FBpp0291178, FBpp0291395, FBpp0089161, FBpp0089160, FBpp0111741, FBpp0304141",GSK-3_Lneg_g01640
OG0000112,"FBpp0074327, FBpp0402805, FBpp0302023, FBpp0111791, FBpp0428193, FBpp0111792, FBpp0074329, FBpp0302024, FBpp0311927",Lneg_g16480
OG0000135,"FBpp0290514, FBpp0290513, FBpp0305523, FBpp0300800, FBpp0305526, FBpp0305525, FBpp0073629, FBpp0305524",HDAC_Lneg_g05922
OG0000145,"FBpp0099678, FBpp0309208","Juvenile_hormone_acid_O-methyltransferase_Lneg_g14445, Juvenile_hormone_acid_O-methyltransferase_Lneg_g15715, Juvenile_hormone_acid_O-methyltransferase_Lneg_g15230, Juvenile_hormone_acid_O-methyltransferase_Lneg_g00868, Juvenile_hormone_acid_O-methyltransferase_Lneg_g11499, Juvenile_hormone_acid_O-methyltransferase_Lneg_g12350, Juvenile_hormone_acid_O-methyltransferase_Lneg_g00112, Juvenile_hormone_acid_O-methyltransferase_Lneg_g02791, Juvenile_hormone_acid_O-methyltransferase_Lneg_g14729, Juvenile_hormone_acid_O-methyltransferase_Lneg_g14446, Juvenile_hormone_acid_O-methyltransferase_Lneg_g04593, Juvenile_hormone_acid_O-methyltransferase_Lneg_g01901, Juvenile_hormone_acid_O-methyltransferase_Lneg_g01902, JH_acid_methyltransferase_Lneg_g13315"
OG0000185,"FBpp0089176, FBpp0307851, FBpp0302796, FBpp0289708, FBpp0300518, FBpp0302794, FBpp0289707, FBpp0302795, FBpp0289704, FBpp0088066, FBpp0289705, FBpp0289706",Lneg_g07574
OG0000204,"FBpp0081675, FBpp0290600, FBpp0081678, FBpp0307053, FBpp0081677, FBpp0312466, FBpp0312465, FBpp0081676, FBpp0300445, FBpp0307052, FBpp0081674",Lneg_g11354
OG0000205,"FBpp0310062, FBpp0310063, FBpp0079148",Lneg_g14147
