Orthogroup,FlybaseProteinID,Lneg_protein,Gene Name
OG0000285,"FBpp0099646, FBpp0086157, FBpp0086156, FBpp0305731",Glutathione_S-transferases_Lneg_g11977_i1,Lneg_g11977
OG0000285,"FBpp0099646, FBpp0086157, FBpp0086156, FBpp0305731",Glutathione_S-transferases_Lneg_g11654_i2,Lneg_g11654
OG0001173,"FBpp0292565, FBpp0303209, FBpp0075308, FBpp0075309, FBpp0303210",Lneg_g02826_i1,Lneg_g02826
OG0001228,"FBpp0078166, FBpp0071116, FBpp0428084, FBpp0071115, FBpp0071117",Lneg_g03988_i1,Lneg_g03988
OG0001268,"FBpp0310669, FBpp0082079, FBpp0082077, FBpp0099824",Glutathione_S-transferases_Lneg_g08281_i1,Lneg_g08281
OG0001268,"FBpp0310669, FBpp0082079, FBpp0082077, FBpp0099824",Glutathione_S-transferases_Lneg_g13963_i1,Lneg_g13963
OG0001268,"FBpp0310669, FBpp0082079, FBpp0082077, FBpp0099824",Lneg_g07241_i1,Lneg_g07241
OG0002764,"FBpp0071631, FBpp0074830, FBpp0300970",Lneg_g01300_i1,Lneg_g01300
OG0003663,"FBpp0079437, FBpp0079436",Lneg_g12903_i1,Lneg_g12903
OG0007125,FBpp0072767,Lneg_g13449_i1,Lneg_g13449
