Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
Lneg_g00771,124.7191,-7.15809,0.785378,83.7831,5.52E-20,5.37E-16,fatty acid synthase-like [Temnothorax curvispinosus]
Lneg_g10426,21.16711,-4.6182,0.843033,36.08083,1.89E-09,4.61E-06,LOW QUALITY PROTEIN: probable nuclear hormone receptor HR3 [Solenopsis invicta]
Lneg_g08825,14.09676,-4.40391,1.094806,15.00148,0.000107,0.022882,circadian clock-controlled protein [Apis mellifera]
Lneg_g04019,13.83308,-4.27092,1.101039,14.25085,0.00016,0.028597,NOTFOUNDINBLASTP
Lneg_g12703,16121.8,-4.21029,0.719695,25.0291,5.65E-07,0.00055,arylphorin subunit alpha [Lasius niger]
Lneg_FASg070,326.7789,-3.93547,0.524547,43.70266,3.82E-11,1.86E-07,fatty acid synthase-like [Temnothorax curvispinosus]
Lneg_g06188,32.46061,-3.632,0.728345,22.49469,2.11E-06,0.001709,phosphatase and actin regulator 4B isoform X7 [Temnothorax curvispinosus]
Lneg_g07830,26.38606,-3.59298,0.903621,14.07992,0.000175,0.028897,putative coiled-coil domain-containing protein 164 [Lasius niger]
Lneg_g01610,168.1462,-3.39717,0.554022,31.11809,2.43E-08,3.38E-05,fatty acid synthase [Lasius niger]
Lneg_g05104,17.90809,-3.23256,0.789278,16.12591,5.93E-05,0.017348,atrophin-1 isoform X1 [Solenopsis invicta]
Lneg_g14495,21.96534,-3.18906,0.784983,15.40187,8.69E-05,0.020626,cytochrome P450 4C1-like [Temnothorax curvispinosus]
Lneg_g10304,56.36806,-3.16199,0.830163,12.69183,0.000367,0.035266,uncharacterized protein LOC105207343 [Solenopsis invicta]
Lneg_g09774,299.913,-3.14563,0.502445,32.56892,1.15E-08,1.87E-05,fatty acid synthase [Solenopsis invicta]
Lneg_g02554,78.69304,-3.05665,0.765887,13.73903,0.00021,0.029883,protein isoform j [Lasius niger]
Lneg_g13871,1035.523,-2.93261,0.725939,11.85503,0.000575,0.045128,hypothetical protein RF55_4139 [Lasius niger]
Lneg_g10469,560.6597,-2.86586,0.649384,16.54386,4.75E-05,0.014922,
Lneg_g09314,2983.014,-2.7781,0.435296,34.5791,4.09E-09,7.97E-06,
Lneg_g00315,22.3834,-2.76463,0.774632,11.70747,0.000622,0.047324,
